model,gs_type,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_entity1,recall_entity1,f1_entity1,precision_relation,recall_relation,f1_relation,precision_entity2,recall_entity2,f1_entity2,precision_soft,recall_soft,f1_soft,support_gold,support_pred,false_negatives,false_positives,soft_false_negatives,soft_false_positives,source_file
gemma3_4b_it,strict,0.0309278350515463,0.0348837209302325,0.0327868852459016,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.2933333333333333,0.2894736842105263,0.2913907284768212,0.1764705882352941,0.3529411764705882,0.2352941176470588,0.1954022988505747,0.2361111111111111,0.2138364779874213,0.04,0.0459770114942528,0.0427807486631016,86,97,84,97,83,96,output/100_kg_llm_triplets_gemma3_phi4mini.csv
phi4mini_instruct,strict,0.0206185567010309,0.0232558139534883,0.0218579234972677,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.2345679012345679,0.25,0.2420382165605095,0.131578947368421,0.2941176470588235,0.1818181818181818,0.1954022988505747,0.2361111111111111,0.2138364779874213,0.0309278350515463,0.0344827586206896,0.0326086956521739,86,97,85,95,84,94,output/100_kg_llm_triplets_gemma3_phi4mini.csv
gemma3_4b_it,loose,0.0618556701030927,0.0178571428571428,0.0277136258660508,0.0251904761904761,0.0251904761904761,0.0251904761904761,0.4266666666666667,0.1322314049586777,0.2018927444794952,0.2352941176470588,0.2857142857142857,0.2580645161290323,0.4482758620689655,0.15234375,0.227405247813411,0.08,0.023391812865497,0.0361990950226244,336,97,336,94,334,92,output/100_kg_llm_triplets_gemma3_phi4mini.csv
phi4mini_instruct,loose,0.0206185567010309,0.0059523809523809,0.0092378752886836,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.345679012345679,0.1157024793388429,0.1733746130030959,0.1578947368421052,0.2142857142857142,0.1818181818181818,0.3218390804597701,0.109375,0.1632653061224489,0.0412371134020618,0.0116959064327485,0.0182232346241457,336,97,340,95,338,93,output/100_kg_llm_triplets_gemma3_phi4mini.csv
gpt4o,strict,0.0606060606060606,0.0697674418604651,0.0648648648648648,0.0566666666666666,0.0566666666666666,0.0566666666666666,0.25,0.25,0.25,0.36,0.5294117647058824,0.4285714285714285,0.1914893617021276,0.25,0.216867469879518,0.07,0.0804597701149425,0.0748663101604278,86,99,81,94,80,93,output/100_kg_llm_triplets_gpt4o.csv
gpt4o,loose,0.0808080808080808,0.0238095238095238,0.0367816091954023,0.0456666666666666,0.0456666666666666,0.0456666666666666,0.3947368421052631,0.1239669421487603,0.1886792452830188,0.44,0.3928571428571428,0.4150943396226415,0.4574468085106383,0.16796875,0.2457142857142857,0.12,0.0350877192982456,0.0542986425339366,336,99,334,92,330,88,output/100_kg_llm_triplets_gpt4o.csv
